Country_Dependency,wikiCountry
Aruba,Aruba (Netherlands)
"Micronesia, Fed. Sts.",Micronesia
Jersey,Jersey (UK)
Antigua And Barbuda,Antigua and Barbuda
Seychelles,Seychelles
Tonga,Tonga
Virgin Islands (U.S.),U.S. Virgin Islands (US)
Isle Of Man,Isle of Man (UK)
Andorra,Andorra
Cayman Islands,Cayman Islands (UK)
Dominica,Dominica
Guernsey,Guernsey (UK)
Bermuda,Bermuda (UK)
Greenland,Greenland (Denmark)
South Ossetia,South Ossetia
Faroe Islands,Faroe Islands (Denmark)
American Samoa,American Samoa (US)
Northern Mariana Islands,Northern Mariana Islands (US)
St. Kitts And Nevis,Saint Kitts and Nevis
Turks And Caicos Islands,Turks and Caicos Islands (UK)
Sint Maarten (Dutch Part),Sint Maarten (Netherlands)
Marshall Islands,Marshall Islands
Liechtenstein,Liechtenstein
Monaco,Monaco
Gibraltar,Gibraltar (UK)
San Marino,San Marino
St. Martin (French Part),Saint Martin (France)
British Virgin Islands,British Virgin Islands (UK)
Åland,Åland (Finland)
Palau,Palau
Anguilla,Anguilla (UK)
Cook Islands,Cook Islands
Nauru,Nauru
Wallis And Futuna (France),Wallis and Futuna (France)
Tuvalu,Tuvalu
Saint Barthélemy (France),Saint Barthélemy (France)
Saint Pierre And Miquelon (France),Saint Pierre and Miquelon (France)
"Saint Helena, Ascension And Tristan da Cunha (UK)","Saint Helena, Ascension and Tristan da Cunha (UK)"
Montserrat (UK),Montserrat (UK)
Falkland Islands (UK),Falkland Islands (UK)
Norfolk Island (Australia),Norfolk Island (Australia)
Christmas Island (Australia),Christmas Island (Australia)
Tokelau (NZ),Tokelau (NZ)
Niue,Niue
Vatican City,Vatican City
Cocos (Keeling) Islands (Australia),Cocos (Keeling) Islands (Australia)
Pitcairn Islands (UK),Pitcairn Islands (UK)
